blind_id,model_id,precision,item_id,mode,row_sha256,source_book,task,gemini_label,glm_label,gemini_reason,glm_reason,glm_review_reason,gemini_reasoning_support,glm_reasoning_support,both_gradable,same_label
B00024,meta-llama/Llama-3.1-8B-Instruct,NF4,clinical_astra_b01_010,no_rag,d8a3f49d884305e190c7c31bab99b910b7ab65184caa153f7f31e66832450f70,A Clinical Casebook of Sleep Disorders in Women.pdf,diagnosis,correct,correct,"The response directly identifies nighttime hot flashes as the symptom-related explanation for the awakenings, matching the reference.","The response identifies nighttime hot flashes as the emphasized explanation, matching the reference that insomnia is associated with menopausal vasomotor symptoms.",,supported,supported,True,True
B00025,microsoft/phi-4,BF16,clinical_astra_b01_006,with_rag,99c7d755e10b2b450f3eb4ee3342cf49799e5a4bee8bb19ef4f6c8e704385009,A Clinical Casebook of Sleep Disorders in Women.pdf,diagnosis,correct,correct,The response accurately identifies mild obstructive sleep apnea (mild OSA) based on the repeat pAHI.,"The response directly identifies mild obstructive sleep apnea based on the repeat pAHI of 7.4/hour, consistent with the reference and appropriate reliance on the current rather than historical study.","No unsafe or contradictory primary answer; the only issue is a minor misstatement about snoring being absent, which does not affect the core diagnosis.",supported,supported,True,True
B00026,gemini-3.8-flash,API,clinical_astra_b06_001,with_rag,4bd52a65a2a142d3d9dff66b8714dcaa846aa41bc369623af644a5638438bd45,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,diagnosis,partial,partial,"The response primarily favors paroxysmal kinesigenic dyskinesia (PKD) instead of paroxysmal hypnogenic dyskinesia (PHD), though it mentions hypnogenic dyskinesia parenthetically.","The response names the favored diagnosis as paroxysmal kinesigenic dyskinesia, which conflicts with the NREM-sleep, non-kinesigenic presentation and the reference answer, though it does mention hypnogenic/paroxysmal dyskinesia as an alternative, making it partially present but equivocating with an incorrect primary choice.","The key concept (paroxysmal hypnogenic dyskinesia) appears in the response and the general reasoning about PRRT2 and EEG findings is accurate, so no unresolved reference concern exists despite the incorrect primary emphasis.",supported,supported,True,True
B00027,microsoft/phi-4,NF4,clinical_astra_b05_003,no_rag,3ab61a4781469be7fa41e82ce6dffcf4b32cc82aa4b143b018cc56d41d91b55d,Sleep Medicine Pearls (Pearls Series).pdf,diagnostic_evaluation,partial,partial,"The response correctly identifies the distinction between central and obstructive residual events, but it omits investigating respiratory-depressant medication exposure (e.g., opioids).","The response correctly identifies investigating whether residual events are central vs obstructive, but omits the reference's second essential element: review of respiratory-depressant medication exposure (e.g., long-acting morphine).","No unsafe or contradictory content; the central/obstructive distinction is appropriately presented as needing investigation, not as an asserted patient finding.",supported,supported,True,True
B00028,microsoft/phi-4,NF4,clinical_astra_b04_002,no_rag,b54c83d78179ea607e788ebb6b8b94a97cd6f2797f65c8ca9542a34a19a6be95,Sleep Medicine (Oxford Case Histories).pdf,diagnosis,partial,partial,"The response identifies obstructive sleep apnea but omits the severity qualifier (severe), which is defined by an AHI > 30/hour.","The response correctly identifies obstructive sleep apnea with supported reasoning, but omits the severity qualifier (AHI 47.9/hour indicates severe OSA) required by the reference answer.",No safety or reference ambiguity concerns; the only issue is the missing severity qualifier.,supported,supported,True,True
B00029,XHToken/Spark-X2.5-4B,NF4,clinical_astra_b04_015,no_rag,53afc613c45e97841b1a9a4380d4e8a4ba82c182cfe99450d06944a7f0f146ad,Sleep Medicine (Oxford Case Histories).pdf,diagnosis,correct,correct,The response accurately identifies sleep paralysis as the sleep-transition phenomenon explaining the patient's symptoms.,"Directly identifies sleep paralysis, matching the classic presentation at sleep-wake transitions with preserved awareness and chest pressure.",,supported,supported,True,True
B00030,Qwen/Qwen3.8-27B,BF16,clinical_astra_b03_018,with_rag,b47e5fe3004d94cb75befec9276a106435f68d881d71b7d93cc362a3d6422f73,Common Pitfalls in Sleep Medicine.pdf,diagnosis,correct,correct,The response accurately identifies obstructive sleep apnea as the sleep disorder contributing to the child's school difficulties.,"Response directly identifies pediatric obstructive sleep apnea, consistent with the PSG AHI findings and clinical presentation, and correctly notes attention problems can occur without overt sleepiness.",,supported,supported,True,True
B00031,meta-llama/Llama-3.2-1B-Instruct,NF4,clinical_astra_b03_011,with_rag,80b3c9fe271011e975644c99063db5d686b22ca2997b6a59c3ba9da0f282da8d,Common Pitfalls in Sleep Medicine.pdf,clinical_interpretation,incorrect,invalid_judge_output,"The response incorrectly identifies 'the use of oral iron' as a surgery-related mechanism and bizarrely claims oral iron is a surgical intervention, failing to state impaired gastrointestinal iron absorption.",,,material_unsupported,not_assessable,False,False
B00032,XHToken/Spark-X2.5-4B,BF16,clinical_astra_b05_007,with_rag,7519907ec3cb8f2252ceb7ddd7513dfefbee462713281f7e9484beb4daf85fa3,Sleep Medicine Pearls (Pearls Series).pdf,diagnosis,correct,correct,The response accurately identifies RLS augmentation as the complication explaining the clinical pattern.,"The response directly identifies dopaminergic augmentation of RLS, matching the accepted answer, and its explanation aligns with the reference rationale (earlier onset, spread, paradoxical worsening despite dose escalation).",No ambiguity or unsafe content; answer matches the candidate reference.,supported,supported,True,True
B00033,meta-llama/Llama-3.2-1B-Instruct,NF4,clinical_astra_b06_012,with_rag,d2179b94018f71f6104879a86a359a06e3d86a0f946e2d59348a05660847bd9b,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,diagnosis,incorrect,incorrect,"The question explicitly asked for the ventilatory disorder present in addition to apnea that explains the profound hypercapnia; the response answered sleep apnea (or OSA), missing sleep-related hypoventilation due to neuromuscular disease.",The question asks which disorder in addition to apnea explains the findings; the response answers sleep apnea/OSA and ignores the marked sustained hypercapnia and Pompe-related respiratory muscle weakness supporting sleep-related hypoventilation due to neuromuscular disease.,"The reference and acceptable answers clearly identify sleep-related hypoventilation due to neuromuscular disease; the response is simply wrong, not ungradable.",material_unsupported,material_unsupported,True,True
B00034,microsoft/phi-4,NF4,clinical_astra_b05_006,with_rag,57195176ead6707ea94ca39c1173ef656d9fd16ef0eb285001f8092b75e641d3,Sleep Medicine Pearls (Pearls Series).pdf,suspected_diagnosis,correct,correct,"The response accurately identifies impulse control disorder associated with the dopamine agonist pramipexole, matching the candidate reference.","The response identifies impulse control disorder associated with the dopamine agonist pramipexole, matching the reference answer and explaining the compulsive behaviors and collateral history.",,supported,supported,True,True
B00035,microsoft/phi-4,NF4,clinical_astra_b01_009,no_rag,dcbc1eb95bc3557481d63984d6d594169296cd8a17d9d28417e25835c1126e8e,A Clinical Casebook of Sleep Disorders in Women.pdf,diagnosis,incorrect,incorrect,"The response identifies Narcolepsy Type 1, whereas the patient lacks cataplexy and CSF hypocretin testing is not reported, making Narcolepsy Type 2 the correct subtype supported by this history.","The response asserts Narcolepsy Type 1, but absence of cataplexy supports type 2 per the reference; it directly contradicts the key.","The question and reference clearly indicate NT2 without cataplexy; the response is a straightforward contradiction, not an ambiguity requiring review.",material_unsupported,material_unsupported,True,True
B00037,google/gemma-3-12b-it,NF4,clinical_astra_b04_007,no_rag,db2c53c3e85bc79f89332a8bd655bb7053b520a6aba5242cf79b101481713ee4,Sleep Medicine (Oxford Case Histories).pdf,diagnosis,partial,partial,"The response identifies Central Sleep Apnea but fails to name the specific breathing pattern (Cheyne-Stokes breathing) described by the waxing and waning pattern, and incorrectly terms it complex sleep apnea.","The response correctly identifies central sleep apnea with waxing-waning breathing and absent effort, but omits the essential Cheyne-Stokes qualifier and mislabels it as 'complex sleep apnea' with obstructive events, which the case does not support.",The reference clearly supports CSA with Cheyne-Stokes breathing; the response's main answer is close enough to grade without human review.,minor_unsupported,minor_unsupported,True,True
B00038,gemini-3.8-flash,API,clinical_astra_b04_008,no_rag,1c9d98654390045a025a29dbf4e383d97b2315276549878f57485949a81b3bd6,Sleep Medicine (Oxford Case Histories).pdf,diagnosis,correct,correct,"The response accurately identifies the mechanism of obstruction as epiglottic collapse (specifically the trapdoor phenomenon), matching the candidate reference.","The response directly identifies epiglottic collapse (trapdoor phenomenon), matching the reference answer and the described DISE finding.","The primary answer is supported by the reference; the explanatory claims about CPAP mechanics and MAD nonresponse are plausible but not verified against the provided reference, constituting only minor unsupported elaboration.",supported,minor_unsupported,True,True
B00039,google/gemma-3-12b-it,BF16,clinical_astra_b05_007,with_rag,64a4407d42b921f8d725de320d64b1104abe57c936f65941bddc4e41bdc7fa3c,Sleep Medicine Pearls (Pearls Series).pdf,diagnosis,correct,correct,"The response accurately identifies augmentation caused by dopamine agonist therapy, matching the reference standard.","The response identifies dopaminergic augmentation, matching the reference and all key qualifiers (earlier onset, spread, paradoxical worsening on dose increases).",No issues; answer aligns with the candidate reference and rubric qualifiers.,supported,supported,True,True
B00042,gpt-5.5-2026-04-23,API,clinical_astra_b02_016,with_rag,7d2afba09433db7e2430a6f420ccb31872795148507bef478554c69a1034a844,"Atlas of Sleep Medicine, 3rd Edition.pdf",clinical_interpretation,correct,correct,"The response directly and accurately identifies the clinical interpretation as cataplexy, perfectly matching the reference.","The response identifies emotion-triggered tone loss with preserved consciousness as cataplexy, matching the reference and essential qualifiers.",No safety or reference ambiguity concerns identified.,supported,supported,True,True
B00043,google/gemma-3-27b-it,BF16,clinical_astra_b04_009,with_rag,29c87ef607966b72cff1d67fbf987624c100f24964dc1a61ba544032fa6d56da,Sleep Medicine (Oxford Case Histories).pdf,diagnosis,correct,correct,"The response accurately identifies catathrenia, matching the candidate reference and acceptable answers.","The response directly answers catathrenia, matching the reference; the described post-inspiratory breath-hold with prolonged expiratory groan is the characteristic pattern.",,supported,supported,True,True
B00044,meta-llama/Llama-3.2-1B-Instruct,NF4,clinical_astra_b05_012,no_rag,3f3671096ce4d05e3a9163a7203ae420d17c7d46b68fc6941d42ce73eeb50845,Sleep Medicine Pearls (Pearls Series).pdf,suspected_diagnosis,incorrect,incorrect,"The response identifies the disorder as Myasthenic Syndrome rather than Myotonic Dystrophy, missing the key features of myotonia (difficulty releasing grip) and systemic signs.","The response names 'Myasthenic Syndrome' instead of myotonic dystrophy, contradicting the reference; the difficulty releasing grip (myotonia) with distal weakness and typical facies points to myotonic dystrophy, and the response's supporting claims (e.g., SOREMP misdefined) are false.",The reference clearly supports myotonic dystrophy; the response is materially wrong but resolvable without review.,material_unsupported,material_unsupported,True,True
B00045,Qwen/Qwen3.8-27B,BF16,clinical_astra_b05_010,no_rag,56f2295083ab932dc519dd5faffdbb62d84f7437722447805ee0ca405dbb678b,Sleep Medicine Pearls (Pearls Series).pdf,diagnosis,correct,correct,"The response accurately identifies Idiopathic Hypersomnia (IH), directly satisfying the question and matching the candidate reference.","Answer is idiopathic hypersomnia, matching the reference; the reasoning (one SOREMP, no cataplexy, sleep inertia, unrefreshing naps) is consistent with supplied findings.",,supported,supported,True,True
B00046,microsoft/phi-4,NF4,clinical_astra_b01_016,no_rag,496ede12e3f007d41f54faf0b32a31a5709a2d97a6fabd3aeb9752cfb871010f,A Clinical Casebook of Sleep Disorders in Women.pdf,diagnosis,incorrect,incorrect,The response identifies the condition as Sleep-Related Violence / Parasomnia rather than the specific diagnosis supported by the EEG findings (Sleep-related dissociative disorder).,"The event occurs during sustained EEG wakefulness after REM sleep, which supports sleep-related dissociative disorder; the response instead asserts Sleep-Related Violence/Parasomnia, a materially different diagnosis.",The reference clearly resolves the state-behavior finding to sleep-related dissociative disorder; no ambiguity requiring review.,material_unsupported,material_unsupported,True,True
B00047,meta-llama/Llama-3.2-1B-Instruct,BF16,clinical_astra_b06_016,no_rag,2ec51a0fa5655643a5180661a5e2862f89ced82531ff7e73c8b503b851208b59,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,clinical_interpretation,incorrect,incorrect,"The response identifies the condition as REM sleep behavior disorder / sleep-related eating disorder instead of cataplexy, which is completely incorrect and clinically nonsensical.","The response asserts REM sleep behavior disorder and sleep-related eating disorder, which do not explain emotion-triggered whole-body weakness; the correct answer is cataplexy in narcolepsy.",The reference and question clearly indicate cataplexy; the response is materially wrong but gradable.,material_unsupported,material_unsupported,True,True
B00049,google/gemma-3-12b-it,BF16,clinical_astra_b03_018,with_rag,fd292ff9f18a7a01130456763610d3c52621a50138bea9ded61421b0b63ab98c,Common Pitfalls in Sleep Medicine.pdf,diagnosis,correct,correct,The response accurately identifies obstructive sleep apnea (OSA) as the disorder explaining the child's school difficulties.,"Response directly identifies pediatric obstructive sleep apnea, matching the reference, and correctly links inattention/school difficulties to OSA despite lack of reported napping.","No unresolvable ambiguity or safety concern; the only issue is an unsupported appeal to 'the provided text,' which does not change the answer.",supported,minor_unsupported,True,True
B00050,gemini-3.8-flash,API,clinical_astra_b03_015,no_rag,01c5cb48b9a41eccae63d11d5032836d28debcbe262329148f491f816aa0935a,Common Pitfalls in Sleep Medicine.pdf,diagnosis,correct,correct,"The response accurately identifies delayed sleep-wake phase disorder (DSWPD), matching the reference and acceptable answers.",The response directly identifies DSWPD and correctly restates the key reference qualifiers: restorative sleep on a delayed schedule with symptoms only under early obligations.,,supported,supported,True,True
B00051,meta-llama/Llama-3.1-8B-Instruct,NF4,clinical_astra_b01_009,with_rag,d0431122ec5d3c8e7c3b640204efb04dcefa58e051063dcf475449efb0095dd8,A Clinical Casebook of Sleep Disorders in Women.pdf,diagnosis,correct,correct,"The response correctly identifies narcolepsy Type 2 (NT2), matching the reference diagnosis and supporting clinical rationale.","The response identifies narcolepsy type 2, consistent with the reference: no cataplexy with supportive MSLT findings (mean sleep latency 2 minutes and ≥2 SOREMPs).",No conflict or ambiguity; answer matches reference qualifiers.,supported,supported,True,True
B00052,google/gemma-3-27b-it,NF4,clinical_astra_b06_016,no_rag,c337fe8bd06294670768e7697d502b900422f12b5348fceb8b19c2dba79a933d,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,clinical_interpretation,correct,correct,"The response accurately identifies the emotion-triggered weakness as cataplexy, fully aligning with the candidate reference and evidence.","The response directly identifies the emotion-triggered weakness as cataplexy, consistent with the reference and the narcolepsy/MSLT context.",No ambiguity or safety concern; answer matches acceptable answers.,supported,supported,True,True
B00053,gemini-3.8-flash,API,clinical_astra_b04_012,with_rag,c0f3d908436e566c94836befbefebc264fd4123fe90da88a2ae7a4175ba53f06,Sleep Medicine (Oxford Case Histories).pdf,clinical_interpretation,correct,correct,The response correctly identifies cataplexy as the symptom described and previously suppressed by fluoxetine.,"Response identifies cataplexy, matching the reference, with an accurate general explanation that fluoxetine likely masked the symptom.","No issues; answer matches reference and explanation is a supported general fact, not an invented case finding.",supported,supported,True,True
B00054,google/gemma-3-27b-it,BF16,clinical_astra_b06_006,with_rag,ea6a8021d22cad9fdb0e8a8f8f76ee06a21478799c259841becbb8bd19a4707a,Sleepless and Sleepy _ 50 Challenging Sleep Medicine Cases.pdf,diagnosis,invalid_judge_output,partial,,"The response identifies neonatal myasthenia gravis, which is semantically close to the required 'transient neonatal myasthenia gravis,' but omits the transient qualifier and does not address the sleep-related breathing component (OSA) named in the gold evidence units.","The core diagnosis is correct in essence; the explanatory claim about the mechanism of sleep desaturations is a qualification, not an unsafe or contradictory answer.",not_assessable,minor_unsupported,False,False
B00055,Qwen/Qwen3.8-27B,BF16,clinical_astra_b04_009,no_rag,e8e79f7ea8e10a055cbc4e5679428a09fadeb6be9492ef93b6909416f77713ca,Sleep Medicine (Oxford Case Histories).pdf,diagnosis,correct,correct,"The response accurately identifies the condition as Catathrenia (sleep-related groaning), matching the candidate reference.","Response directly identifies catathrenia (sleep-related groaning), matching the reference and the characteristic expiratory groan after inspiratory breath-hold.",,supported,supported,True,True
B00056,google/gemma-3-27b-it,NF4,clinical_astra_b04_010,no_rag,3ac26397242b81074ed65c59d07e0d9498c4527e1c293ad17f34b593d6bfd6e3,Sleep Medicine (Oxford Case Histories).pdf,suspected_diagnosis,correct,correct,"The response accurately identifies REM sleep behavior disorder (RBD), matching the candidate reference and acceptable answers.","Response directly identifies RBD, matching the reference and acceptable answers, with appropriate recognition that video-PSG confirmation of REM atonia is needed.",,supported,supported,True,True
B00057,google/gemma-3-27b-it,BF16,clinical_astra_b05_011,no_rag,bd74f02f7bc6b43d3b649241db69f60345e0bd9d85434f7f2e9812f631fdd11c,Sleep Medicine Pearls (Pearls Series).pdf,clinical_interpretation,correct,correct,"The response identifies prolonged late-night texting causing behavioral insufficient sleep syndrome and delayed sleep timing, which matches the reference standard.","The response identifies prolonged late-night texting as the documented contributor, which paraphrases the reference of habitual insufficient sleep due to behaviorally delayed sleep timing, and correctly notes this must be corrected before diagnosing a central hypersomnolence disorder.",,supported,supported,True,True
B00058,meta-llama/Llama-3.2-1B-Instruct,BF16,clinical_astra_b04_013,no_rag,b2d916f45f13e89be000bfcfb3f29f232ee8c945344641e9e879716843e2cf48,Sleep Medicine (Oxford Case Histories).pdf,clinical_interpretation,correct,partial,"The response accurately identifies 'sleep inertia' as the term describing difficulty becoming fully alert after awakening, matching the reference.","The response correctly identifies 'sleep inertia' as the term, but omits the reference's severity qualifier ('severe' sleep inertia/sleep drunkenness) that characterizes the prolonged, unrefreshing presentation described.",No safety or reference-consistency concerns; the explanation is general and does not invent case facts.,supported,supported,True,False
